timestamp,date,latitude,longitude
1636580091,"2021-11-10 21:34:51",49.259947,3.861936
1636580151,"2021-11-10 21:35:51",49.259404,3.860553
1636580211,"2021-11-10 21:36:51",49.25996,3.861978
1636580241,"2021-11-10 21:37:21",49.259624,3.861538
1636580362,"2021-11-10 21:39:22",49.259896,3.861856
1636580555,"2021-11-10 21:42:35",49.259707,3.861508
1636580586,"2021-11-10 21:43:06",49.25994,3.86188
1636580616,"2021-11-10 21:43:36",49.259711,3.861555
1636580646,"2021-11-10 21:44:06",49.259958,3.861975
1636580676,"2021-11-10 21:44:36",49.259587,3.861372
1636580736,"2021-11-10 21:45:36",49.259947,3.861898
1636580768,"2021-11-10 21:46:08",49.259711,3.861555
1636580798,"2021-11-10 21:46:38",49.259928,3.861873
1636580978,"2021-11-10 21:49:38",49.259722,3.861471
1636581008,"2021-11-10 21:50:08",49.259963,3.861918
1636581098,"2021-11-10 21:51:38",49.259697,3.861489
1636581128,"2021-11-10 21:52:08",49.259958,3.861979
1636581194,"2021-11-10 21:53:14",49.259397,3.860543
1636581229,"2021-11-10 21:53:49",49.259981,3.861939
1636581327,"2021-11-10 21:55:27",49.259389,3.860543
1636581357,"2021-11-10 21:55:57",49.25996,3.861988
1636581388,"2021-11-10 21:56:28",49.25939,3.860553
1636581394,"2021-11-10 21:56:34",49.260052,3.862159
1636581513,"2021-11-10 21:58:33",49.259394,3.860547
1636581549,"2021-11-10 21:59:09",49.260077,3.861982
1636581573,"2021-11-10 21:59:33",49.259388,3.860549
1636581605,"2021-11-10 22:00:05",49.259981,3.862012
1636581759,"2021-11-10 22:02:39",49.25939,3.860553
1636581792,"2021-11-10 22:03:12",49.260016,3.861996
1636582020,"2021-11-10 22:07:00",49.259373,3.8605
1636582051,"2021-11-10 22:07:31",49.259961,3.861992
1636583224,"2021-11-10 22:27:04",49.259945,3.861928
1636583284,"2021-11-10 22:28:04",49.259877,3.86173
1636583879,"2021-11-10 22:37:59",49.260146,3.861881
1636583984,"2021-11-10 22:39:44",49.259882,3.862037
1636584357,"2021-11-10 22:45:57",49.260109,3.861795
1636584486,"2021-11-10 22:48:06",49.259768,3.862246
1636584616,"2021-11-10 22:50:16",49.260003,3.861947
1636585467,"2021-11-10 23:04:27",49.259915,3.86241
1636585499,"2021-11-10 23:04:59",49.259964,3.861994
1636587525,"2021-11-10 23:38:45",49.259964,3.861993
1636588491,"2021-11-10 23:54:51",49.259964,3.861993
1636589452,"2021-11-11 00:10:52",49.259964,3.861993
1636590418,"2021-11-11 00:26:58",49.259964,3.861993
1636591384,"2021-11-11 00:43:04",49.259964,3.861993
1636597654,"2021-11-11 02:27:34",49.259964,3.861994
1636597677,"2021-11-11 02:27:57",49.260463,3.862136
1636597710,"2021-11-11 02:28:30",49.259974,3.862061
1636600360,"2021-11-11 03:12:40",49.258036,3.862246
1636600402,"2021-11-11 03:13:22",49.257724,3.862365
1636600408,"2021-11-11 03:13:28",49.257291,3.862702
1636600413,"2021-11-11 03:13:33",49.256893,3.862903
1636600426,"2021-11-11 03:13:46",49.257144,3.863201
1636600431,"2021-11-11 03:13:51",49.257496,3.863311
1636600436,"2021-11-11 03:13:56",49.257826,3.86353
1636600442,"2021-11-11 03:14:02",49.258063,3.863732
1636600447,"2021-11-11 03:14:07",49.258333,3.864034
1636600453,"2021-11-11 03:14:13",49.25874,3.864529
1636600458,"2021-11-11 03:14:18",49.259097,3.865116
1636600463,"2021-11-11 03:14:23",49.259427,3.865928
1636600469,"2021-11-11 03:14:29",49.259861,3.867016
1636600475,"2021-11-11 03:14:35",49.260467,3.868006
1636600481,"2021-11-11 03:14:41",49.261164,3.868827
1636600486,"2021-11-11 03:14:46",49.261761,3.869623
1636600491,"2021-11-11 03:14:51",49.262431,3.870393
1636600496,"2021-11-11 03:14:56",49.263131,3.871178
1636600502,"2021-11-11 03:15:02",49.264028,3.872224
1636600507,"2021-11-11 03:15:07",49.264774,3.873105
1636600513,"2021-11-11 03:15:13",49.265676,3.87412
1636600519,"2021-11-11 03:15:19",49.266579,3.87513
